username, created_at, lng, lat, text
crumbbss_, Fri Apr 24 03:08:32 +0000 2020, -95.446486, 29.838495, 🥺🥺🥺 
Parishatesyouu, Fri Apr 24 03:08:32 +0000 2020, -73.948775, 40.655138, @dopeitsdest Considering it, Are you from San Antonio? 
JesseVasq_87, Fri Apr 24 03:08:32 +0000 2020, -96.879957, 32.924548, @savanamarieee Okay https://t.co/fEaYK9N30L 
anagsoto_, Fri Apr 24 03:08:33 +0000 2020, -73.968542, 40.780709, high off my ass and watching my own private idaho also i’m eating froot loops i love to live it 
WayneBelcher1, Fri Apr 24 03:08:33 +0000 2020, -115.038337, 36.006256, My health insurance will not cover a flashlight enema. 
EastSide_Shine, Fri Apr 24 03:08:33 +0000 2020, -90.011008, 29.982601, Like why is he replacing warfford 
kevinkccannon, Fri Apr 24 03:08:33 +0000 2020, -88.081903, 30.733109, 2020 Seniors...ITS YOUR TURN!! you still got time to get your senior portraits taken with us!  Don’t worry... your… https://t.co/AiPUjX1Kq0 
__TheCoolest, Fri Apr 24 03:08:33 +0000 2020, -81.536358, 41.495131, @Bitchy__Type Do you think i could use that to get some 
_evelyn0620, Fri Apr 24 03:08:33 +0000 2020, -98.540651, 29.417501, I’m soooo bored 
RyaninCleveland, Fri Apr 24 03:08:33 +0000 2020, -80.926628, 33.631140, @WrxChad Based &amp; Blessed🙏🏽 
Tereee__, Fri Apr 24 03:08:33 +0000 2020, -100.076888, 31.168893, @kfarnsworth444 @BrockWilson01 Pain is just weakness leaving your body 😎😝🥵😤👏🏽👊🏽 
hpeterson523, Fri Apr 24 03:08:33 +0000 2020, -84.645968, 42.646039, Amazing, moving song @aliciakeys. Thank you! I agree with @drsanjaygupta  that we all needed your moment of zen ton… https://t.co/Wlpuz2mO86 
revsusanrussell, Fri Apr 24 03:08:33 +0000 2020, -118.136193, 34.193809, @garyhall49 https://t.co/deq1ATtsIw 
Pilotgirl30, Fri Apr 24 03:08:33 +0000 2020, -95.692541, 29.559427, THIS 
clarkejeffrey, Fri Apr 24 03:08:33 +0000 2020, -77.101999, 38.880845, @joelpollak @BreitbartNews Even under the best case scenario....He didn't mean what he actually said. Its still not… https://t.co/vJSw8KjhXP 
dom_erella, Fri Apr 24 03:08:33 +0000 2020, -77.230881, 38.916761, This is when Congress should step in ... this should be over by now. 
CoryDiaz_TNS, Fri Apr 24 03:08:33 +0000 2020, -92.076701, 32.521243, #Saints should take Xavier McKinney from ALABAMA. 😉😉 
jackieu3, Fri Apr 24 03:08:33 +0000 2020, -80.228552, 25.858557, @veegaa_ @chriscoipel1706 @chriscoipel_23 https://t.co/N7nguRyOZ1 
MsLSpatz, Fri Apr 24 03:08:33 +0000 2020, -75.925021, 40.334119, @realtimrozon @Jemga @AdriyanRae @AlexPiaraMcG @SYFY Cute https://t.co/ym74Xu7RZ0 
_texas_savage_, Fri Apr 24 03:08:33 +0000 2020, -100.076888, 31.168893, My little property in Mexico gives me so much motivation. Like I’m working hard towards something that’s mine. I’m… https://t.co/cI5vttbBU5 
StewardessChick, Fri Apr 24 03:08:33 +0000 2020, -118.348556, 33.995576, Lmfao 
LaneMeyer_4, Fri Apr 24 03:08:33 +0000 2020, -82.772830, 27.904263, I’m hoping Edwards-Helaire is still there in Round 2 or maybe one of the better safeties 
IzraelJesus, Fri Apr 24 03:08:33 +0000 2020, -123.279343, 44.569246, https://t.co/bWRZUSLIcX 
